Archivo,Hurst_p55,FFT_Ciclo1,Hilbert_Periodo,Exito_Apoyo_55,Corr_Lag
pine-logs-Calculador de Magnitudes Armónicas,0.929,10000,,80.5,-28
pine-logs-Calculador de Magnitudes Armónicas (1),0.928,10000,,79.2,-25
pine-logs-Calculador de Magnitudes Armónicas (10),0.948,215,,76.9,-20
pine-logs-Calculador de Magnitudes Armónicas (11),0.893,168,,80.9,-18
pine-logs-Calculador de Magnitudes Armónicas (12),0.924,10000,,78.5,-28
pine-logs-Calculador de Magnitudes Armónicas (13),0.924,455,,77.9,-23
pine-logs-Calculador de Magnitudes Armónicas (14),0.928,908,,78.0,-25
pine-logs-Calculador de Magnitudes Armónicas (15),0.943,5417,,86.0,-32
pine-logs-Calculador de Magnitudes Armónicas (16),0.906,10000,,86.4,-26
pine-logs-Calculador de Magnitudes Armónicas (17),0.910,9956,,88.8,-26
pine-logs-Calculador de Magnitudes Armónicas (18),0.913,10000,,80.7,-24
pine-logs-Calculador de Magnitudes Armónicas (19),1.004,301,,90.5,-29
pine-logs-Calculador de Magnitudes Armónicas (2),0.933,10000,,79.5,-28
pine-logs-Calculador de Magnitudes Armónicas (20),0.908,2279,,89.3,-21
pine-logs-Calculador de Magnitudes Armónicas (21),0.913,9821,,82.6,-27
pine-logs-Calculador de Magnitudes Armónicas (22),0.922,172,,81.2,-27
pine-logs-Calculador de Magnitudes Armónicas (23),0.964,2476,,80.7,-29
pine-logs-Calculador de Magnitudes Armónicas (24),0.899,10000,,77.5,-20
pine-logs-Calculador de Magnitudes Armónicas (25),0.919,233,,82.0,-22
pine-logs-Calculador de Magnitudes Armónicas (26),0.936,303,,84.0,-25
pine-logs-Calculador de Magnitudes Armónicas (27),0.936,10000,,75.0,-28
pine-logs-Calculador de Magnitudes Armónicas (28),0.920,9950,,81.3,-26
pine-logs-Calculador de Magnitudes Armónicas (29),0.925,9786,,83.1,-30
pine-logs-Calculador de Magnitudes Armónicas (3),0.972,246,,86.7,52
pine-logs-Calculador de Magnitudes Armónicas (30),0.912,1870,,86.2,-21
pine-logs-Calculador de Magnitudes Armónicas (31),1.003,214,,96.3,-20
pine-logs-Calculador de Magnitudes Armónicas (32),0.916,921,,86.3,-29
pine-logs-Calculador de Magnitudes Armónicas (33),0.921,1802,,85.6,-26
pine-logs-Calculador de Magnitudes Armónicas (34),0.921,10000,,79.8,-24
pine-logs-Calculador de Magnitudes Armónicas (35),0.942,1700,,83.2,-24
pine-logs-Calculador de Magnitudes Armónicas (36),0.920,399,,78.3,-25
pine-logs-Calculador de Magnitudes Armónicas (37),0.907,10000,,72.3,-28
pine-logs-Calculador de Magnitudes Armónicas (38),0.920,323,,80.1,-22
pine-logs-Calculador de Magnitudes Armónicas (39),0.969,206,,71.8,-34
pine-logs-Calculador de Magnitudes Armónicas (4),0.948,970,,82.8,-33
pine-logs-Calculador de Magnitudes Armónicas (40),0.925,3861,,78.2,-24
pine-logs-Calculador de Magnitudes Armónicas (41),0.907,192,,74.1,-31
pine-logs-Calculador de Magnitudes Armónicas (42),0.919,10000,,77.4,-20
pine-logs-Calculador de Magnitudes Armónicas (5),0.949,433,,78.3,0
pine-logs-Calculador de Magnitudes Armónicas (6),0.936,4217,,81.4,-24
pine-logs-Calculador de Magnitudes Armónicas (7),0.929,499,,80.6,-27
pine-logs-Calculador de Magnitudes Armónicas (8),0.934,455,,78.2,-25
pine-logs-Calculador de Magnitudes Armónicas (9),0.939,10000,,81.6,-29
